[0.007s][info][gc] Using Parallel
[37,665s][info][gc] GC(202) Pause Young (Allocation Failure) 1279M->927M(1923M) 65,669ms
[37,828s][info][gc] GC(203) Pause Young (Allocation Failure) 1281M->929M(1926M) 60,136ms
[37,993s][info][gc] GC(204) Pause Young (Allocation Failure) 1284M->930M(1922M) 60,339ms
[38,169s][info][gc] GC(205) Pause Young (Allocation Failure) 1286M->932M(1926M) 60,110ms
[38,333s][info][gc] GC(206) Pause Young (Allocation Failure) 1289M->934M(1922M) 60,261ms
[38,496s][info][gc] GC(207) Pause Young (Allocation Failure) 1291M->936M(1925M) 60,742ms
[38,660s][info][gc] GC(208) Pause Young (Allocation Failure) 1294M->938M(1925M) 61,095ms
[38,825s][info][gc] GC(209) Pause Young (Allocation Failure) 1296M->940M(1924M) 61,498ms
[38,995s][info][gc] GC(210) Pause Young (Allocation Failure) 1299M->941M(1925M) 63,027ms
[39,175s][info][gc] GC(211) Pause Young (Allocation Failure) 1301M->943M(1924M) 61,414ms
[39,341s][info][gc] GC(212) Pause Young (Allocation Failure) 1304M->945M(1924M) 61,578ms
[39,507s][info][gc] GC(213) Pause Young (Allocation Failure) 1306M->947M(1923M) 60,776ms
[39,674s][info][gc] GC(214) Pause Young (Allocation Failure) 1309M->949M(1924M) 62,218ms
[39,841s][info][gc] GC(215) Pause Young (Allocation Failure) 1311M->951M(1924M) 61,529ms
[40,009s][info][gc] GC(216) Pause Young (Allocation Failure) 1314M->953M(1920M) 61,792ms
[40,195s][info][gc] GC(217) Pause Young (Allocation Failure) 1317M->954M(1923M) 62,195ms
[40,364s][info][gc] GC(218) Pause Young (Allocation Failure) 1319M->956M(1919M) 63,178ms
[40,532s][info][gc] GC(219) Pause Young (Allocation Failure) 1321M->958M(1923M) 62,483ms
[40,700s][info][gc] GC(220) Pause Young (Allocation Failure) 1324M->960M(1919M) 62,376ms
[40,868s][info][gc] GC(221) Pause Young (Allocation Failure) 1327M->962M(1922M) 62,446ms
[41,036s][info][gc] GC(222) Pause Young (Allocation Failure) 1329M->964M(1918M) 62,447ms
[41,236s][info][gc] GC(223) Pause Young (Allocation Failure) 1332M->965M(1922M) 62,546ms
[41,406s][info][gc] GC(224) Pause Young (Allocation Failure) 1334M->967M(1922M) 62,432ms
[41,576s][info][gc] GC(225) Pause Young (Allocation Failure) 1337M->969M(1921M) 62,585ms
[41,746s][info][gc] GC(226) Pause Young (Allocation Failure) 1339M->971M(1921M) 63,174ms
[41,919s][info][gc] GC(227) Pause Young (Allocation Failure) 1342M->973M(1920M) 63,930ms
[42,099s][info][gc] GC(228) Pause Young (Allocation Failure) 1344M->975M(1921M) 70,071ms
[42,273s][info][gc] GC(229) Pause Young (Allocation Failure) 1347M->977M(1920M) 63,072ms
[42,446s][info][gc] GC(230) Pause Young (Allocation Failure) 1349M->978M(1920M) 64,199ms
[42,619s][info][gc] GC(231) Pause Young (Allocation Failure) 1352M->980M(1919M) 64,035ms
[42,794s][info][gc] GC(232) Pause Young (Allocation Failure) 1354M->982M(1920M) 64,095ms
[42,968s][info][gc] GC(233) Pause Young (Allocation Failure) 1357M->984M(1919M) 63,709ms
[43,152s][info][gc] GC(234) Pause Young (Allocation Failure) 1360M->986M(1919M) 65,962ms
[43,334s][info][gc] GC(235) Pause Young (Allocation Failure) 1362M->988M(1919M) 65,569ms
[43,507s][info][gc] GC(236) Pause Young (Allocation Failure) 1364M->990M(1916M) 64,203ms
[43,679s][info][gc] GC(237) Pause Young (Allocation Failure) 1367M->991M(1919M) 64,125ms
[43,855s][info][gc] GC(238) Pause Young (Allocation Failure) 1369M->993M(1915M) 65,746ms
[44,031s][info][gc] GC(239) Pause Young (Allocation Failure) 1372M->995M(1918M) 64,988ms
[44,216s][info][gc] GC(240) Pause Young (Allocation Failure) 1375M->997M(1914M) 64,376ms
[44,390s][info][gc] GC(241) Pause Young (Allocation Failure) 1377M->999M(1918M) 64,260ms
[44,565s][info][gc] GC(242) Pause Young (Allocation Failure) 1380M->1001M(1914M) 65,295ms
[44,759s][info][gc] GC(243) Pause Young (Allocation Failure) 1382M->1002M(1917M) 64,567ms
[44,934s][info][gc] GC(244) Pause Young (Allocation Failure) 1385M->1004M(1913M) 64,739ms
[45,118s][info][gc] GC(245) Pause Young (Allocation Failure) 1387M->1006M(1917M) 66,462ms
[45,298s][info][gc] GC(246) Pause Young (Allocation Failure) 1390M->1008M(1917M) 68,472ms
[45,475s][info][gc] GC(247) Pause Young (Allocation Failure) 1392M->1010M(1916M) 64,972ms
[45,651s][info][gc] GC(248) Pause Young (Allocation Failure) 1395M->1012M(1916M) 65,054ms
[45,828s][info][gc] GC(249) Pause Young (Allocation Failure) 1397M->1014M(1915M) 65,350ms
[46,008s][info][gc] GC(250) Pause Young (Allocation Failure) 1400M->1015M(1916M) 65,929ms
[46,199s][info][gc] GC(251) Pause Young (Allocation Failure) 1402M->1017M(1915M) 65,502ms
[46,376s][info][gc] GC(252) Pause Young (Allocation Failure) 1405M->1019M(1915M) 65,295ms
[46,553s][info][gc] GC(253) Pause Young (Allocation Failure) 1407M->1021M(1914M) 65,585ms
[46,733s][info][gc] GC(254) Pause Young (Allocation Failure) 1410M->1023M(1915M) 67,734ms
[46,916s][info][gc] GC(255) Pause Young (Allocation Failure) 1412M->1025M(1914M) 66,690ms
[47,102s][info][gc] GC(256) Pause Young (Allocation Failure) 1415M->1027M(1914M) 69,068ms
[47,285s][info][gc] GC(257) Pause Young (Allocation Failure) 1418M->1028M(1914M) 66,018ms
[47,465s][info][gc] GC(258) Pause Young (Allocation Failure) 1420M->1030M(1911M) 66,150ms
[47,644s][info][gc] GC(259) Pause Young (Allocation Failure) 1423M->1032M(1914M) 66,949ms
[47,827s][info][gc] GC(260) Pause Young (Allocation Failure) 1425M->1034M(1910M) 66,731ms
[48,008s][info][gc] GC(261) Pause Young (Allocation Failure) 1428M->1036M(1913M) 66,525ms
[48,204s][info][gc] GC(262) Pause Young (Allocation Failure) 1430M->1038M(1910M) 66,705ms
[48,385s][info][gc] GC(263) Pause Young (Allocation Failure) 1433M->1039M(1913M) 67,084ms
[48,567s][info][gc] GC(264) Pause Young (Allocation Failure) 1435M->1041M(1909M) 67,190ms
[48,749s][info][gc] GC(265) Pause Young (Allocation Failure) 1438M->1043M(1912M) 67,830ms
[48,936s][info][gc] GC(266) Pause Young (Allocation Failure) 1440M->1045M(1908M) 67,899ms
[49,129s][info][gc] GC(267) Pause Young (Allocation Failure) 1443M->1047M(1912M) 70,088ms
[49,315s][info][gc] GC(268) Pause Young (Allocation Failure) 1445M->1049M(1912M) 67,476ms
[49,501s][info][gc] GC(269) Pause Young (Allocation Failure) 1448M->1051M(1911M) 71,256ms
[49,694s][info][gc] GC(270) Pause Young (Allocation Failure) 1450M->1052M(1911M) 68,108ms
[49,878s][info][gc] GC(271) Pause Young (Allocation Failure) 1453M->1054M(1910M) 67,914ms
[50,062s][info][gc] GC(272) Pause Young (Allocation Failure) 1455M->1056M(1911M) 68,260ms
[50,284s][info][gc] GC(273) Pause Young (Allocation Failure) 1458M->1058M(1910M) 75,699ms
[50,471s][info][gc] GC(274) Pause Young (Allocation Failure) 1461M->1060M(1910M) 68,267ms
[50,656s][info][gc] GC(275) Pause Young (Allocation Failure) 1463M->1062M(1909M) 68,462ms
[50,842s][info][gc] GC(276) Pause Young (Allocation Failure) 1466M->1064M(1910M) 68,362ms
[51,052s][info][gc] GC(277) Pause Young (Allocation Failure) 1468M->1065M(1909M) 68,362ms
