[0.004s][info][gc] Using Serial
[27,419s][info][gc] GC(104) Pause Young (Allocation Failure) 1493M->1048M(1979M) 51,780ms
[27,687s][info][gc] GC(105) Pause Young (Allocation Failure) 1587M->1140M(1979M) 65,728ms
[27,935s][info][gc] GC(106) Pause Young (Allocation Failure) 1681M->1231M(1979M) 60,518ms
[28,204s][info][gc] GC(107) Pause Young (Allocation Failure) 1775M->1324M(1979M) 67,999ms
[29,077s][info][gc] GC(109) Pause Full (Allocation Failure) 1781M->716M(1979M) 714,066ms
[29,077s][info][gc] GC(108) Pause Young (Allocation Failure) 1781M->716M(1979M) 714,123ms
[29,292s][info][gc] GC(110) Pause Young (Allocation Failure) 1175M->809M(1979M) 42,725ms
[29,493s][info][gc] GC(111) Pause Young (Allocation Failure) 1270M->902M(1979M) 44,843ms
[29,716s][info][gc] GC(112) Pause Young (Allocation Failure) 1365M->995M(1979M) 50,630ms
[29,932s][info][gc] GC(113) Pause Young (Allocation Failure) 1460M->1088M(1979M) 50,451ms
[30,148s][info][gc] GC(114) Pause Young (Allocation Failure) 1555M->1182M(1979M) 55,214ms
[30,372s][info][gc] GC(115) Pause Young (Allocation Failure) 1651M->1277M(1979M) 59,993ms
[31,295s][info][gc] GC(117) Pause Full (Allocation Failure) 1747M->738M(1979M) 735,628ms
[31,295s][info][gc] GC(116) Pause Young (Allocation Failure) 1747M->738M(1979M) 735,707ms
[31,499s][info][gc] GC(118) Pause Young (Allocation Failure) 1210M->833M(1979M) 44,291ms
[31,726s][info][gc] GC(119) Pause Young (Allocation Failure) 1307M->928M(1979M) 45,469ms
[31,938s][info][gc] GC(120) Pause Young (Allocation Failure) 1405M->1024M(1979M) 49,198ms
[32,156s][info][gc] GC(121) Pause Young (Allocation Failure) 1502M->1120M(1979M) 54,262ms
[32,374s][info][gc] GC(122) Pause Young (Allocation Failure) 1600M->1217M(1979M) 57,822ms
[32,620s][info][gc] GC(123) Pause Young (Allocation Failure) 1699M->1314M(1979M) 61,304ms
[33,549s][info][gc] GC(125) Pause Full (Allocation Failure) 1798M->759M(1979M) 753,052ms
[33,549s][info][gc] GC(124) Pause Young (Allocation Failure) 1798M->759M(1979M) 753,149ms
[33,781s][info][gc] GC(126) Pause Young (Allocation Failure) 1245M->857M(1979M) 45,996ms
[34,026s][info][gc] GC(127) Pause Young (Allocation Failure) 1344M->955M(1979M) 58,024ms
[34,252s][info][gc] GC(128) Pause Young (Allocation Failure) 1445M->1053M(1979M) 52,344ms
[34,474s][info][gc] GC(129) Pause Young (Allocation Failure) 1545M->1152M(1979M) 54,737ms
[34,719s][info][gc] GC(130) Pause Young (Allocation Failure) 1646M->1252M(1979M) 61,845ms
[35,690s][info][gc] GC(132) Pause Full (Allocation Failure) 1747M->777M(1979M) 799,973ms
[35,690s][info][gc] GC(131) Pause Young (Allocation Failure) 1747M->777M(1979M) 800,037ms
[35,925s][info][gc] GC(133) Pause Young (Allocation Failure) 1274M->877M(1979M) 46,184ms
[36,166s][info][gc] GC(134) Pause Young (Allocation Failure) 1376M->978M(1979M) 50,681ms
[36,393s][info][gc] GC(135) Pause Young (Allocation Failure) 1479M->1078M(1979M) 54,873ms
[36,666s][info][gc] GC(136) Pause Young (Allocation Failure) 1582M->1180M(1979M) 59,002ms
[36,937s][info][gc] GC(137) Pause Young (Allocation Failure) 1685M->1281M(1979M) 60,946ms
[37,918s][info][gc] GC(139) Pause Full (Allocation Failure) 1788M->795M(1979M) 798,221ms
[37,918s][info][gc] GC(138) Pause Young (Allocation Failure) 1788M->795M(1979M) 798,322ms
[38,167s][info][gc] GC(140) Pause Young (Allocation Failure) 1304M->898M(1979M) 62,603ms
[38,424s][info][gc] GC(141) Pause Young (Allocation Failure) 1408M->1000M(1979M) 50,511ms
[38,676s][info][gc] GC(142) Pause Young (Allocation Failure) 1513M->1104M(1979M) 54,686ms
[38,916s][info][gc] GC(143) Pause Young (Allocation Failure) 1618M->1207M(1979M) 59,568ms
[39,153s][info][gc] GC(144) Pause Young (Allocation Failure) 1723M->1311M(1979M) 60,237ms
[40,135s][info][gc] GC(146) Pause Full (Allocation Failure) 1829M->814M(1979M) 804,840ms
[40,136s][info][gc] GC(145) Pause Young (Allocation Failure) 1829M->814M(1979M) 804,900ms
[40,375s][info][gc] GC(147) Pause Young (Allocation Failure) 1334M->918M(1979M) 46,016ms
